name,description,url
Professional 7.0 Solution,Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/
Professional 7.1 (International),Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/
Professional 8.0 JFA,Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/
Professional/Individual Contributor - Short Form,Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/
Project Manager - Short Form,Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/
Docker (New),Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/
Dojo (New),Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/
Drupal (New),Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/
DSI v1.1 Interpretation Report,DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/
Econometrics (New),Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/
Economics (New),Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/
Electrical and Electronics Engineering (New),Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/
Electrical Engineering (New),Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/
Electronics & Telecommunications Engineering (New),Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/
Electronics and Embedded Systems Engineering (New),Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/
Electronics and Semiconductor Engineering (New),Electronics and Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/
English Comprehension (New),English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/
Proof Operator - Processing Specialist -Short Form,Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/
Reservation Agent Solution,Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/
Restaurant Manager Solution,Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/
Restaurant Supervisor Solution,Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/
Retail Consultant Solution,Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/
Retail Manager w/ Sales Solution,Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/
Retail Sales Associate Solution,Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/
Sales Director Solution,Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/
Sales Engineer Solution,Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/
Sales Manager Solution,Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/
Sales Professional 7.0 Solution,Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/
Sales Professional 7.1 (Americas),Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/
Enterprise Java Beans (New),Enterprise Java Beans (New),https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/
Enterprise Leadership Report 1.0,Enterprise Leadership Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report/
Enterprise Leadership Report 2.0,Enterprise Leadership Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/
Entry Level Cashier Solution,Entry Level Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-solution/
Entry Level Customer Serv-Retail & Contact Center,Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/
Entry Level Customer Service (General) Solution,Entry Level Customer Service (General) Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/
Entry Level Hotel Front Desk Solution,Entry Level Hotel Front Desk Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/
Entry Level Sales Solution,Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/
Entry Level Technical Support Solution,Entry Level Technical Support Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-technical-support-solution/
ETL Testing (New),ETL Testing (New),https://www.shl.com/solutions/products/product-catalog/view/etl-testing-new/
Executive Scenarios,Executive Scenarios,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios/
Executive Scenarios Narrative Report,Executive Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report/
Sales Professional Solution,Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/
Sales Representative Solution,Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/
